ID	delay1d	delay7d	delay1m	delay6m	delay1y	delay5y	delay25y
jh001	0.96	0.68	0.48	0.36	0.28	0.28	0.16
jh002	0.68	0.68	0.16	0.08	0.04	0.04	0.08
jh003	0.96	0.96	0.92	0.8	0.4	0.04	0.04
jh004	0.96	0.96	0.96	0.92	0.88	0.88	0.68
jh005	0.96	0.96	0.96	0.96	0.8	0.28	0.04
jh006	0.96	0.96	0.92	0.72	0.44	0.24	0.04
jh007	0.96	0.84	0.76	0.36	0.36	0.16	0.04
jh008	0.04	0.04	0.6	0.72	0.68	0.56	0.08
jh009	0.96	0.96	0.04	0.04	0.04	0.04	0.04
jh010	0.96	0.48	0.32	0.2	0.2	0.24	0.12
jh011	0.96	0.76	0.52	0.12	0.08	0.04	0.04
jh012	0.96	0.88	0.4	0.2	0.16	0.08	0.04
jh013	0.96	0.96	0.96	0.96	0.96	0.8	0.48
jh014	0.92	0.44	0.56	0.36	0.36	0.28	0.16
jh015	0.96	0.96	0.92	0.72	0.64	0.52	0.68
jh016	0.96	0.96	0.76	0.56	0.12	0.04	0.04
jh017	0.96	0.8	0.2	0.12	0.04	0.04	0.04
jh018	0.88	0.84	0.52	0.48	0.44	0.36	0.28
jh019	0.96	0.88	0.88	0.48	0.24	0.12	0.04
jh020	0.96	0.92	0.92	0.8	0.68	0.72	0.52
jh021	0.96	0.96	0.92	0.36	0.6	0.24	0.16
jh022	0.88	0.76	0.6	0.32	0.16	0.12	0.04
jh023	0.96	0.96	0.96	0.52	0.56	0.64	0.16
jh024	0.96	0.88	0.6	0.16	0.04	0.04	0.04
me001	0.96	0.96	0.92	0.92	0.84	0.8	0.72
me002	0.96	0.88	0.68	0.36	0.12	0.04	0.04
me003	0.48	0.2	0.04	0.04	0.04	0.04	0.04
me004	0.92	0.96	0.96	0.56	0.52	0.24	0.04
me005	0.96	0.76	0.48	0.2	0.2	0.16	0.04
me006	0.88	0.72	0.76	0.64	0.68	0.64	0.04
mw001	0.96	0.96	0.92	0.84	0.8	0.44	0.16
mw002	0.96	0.96	0.8	0.68	0.48	0.32	0.08
mw003	0.96	0.92	0.88	0.64	0.6	0.56	0.48
mw004	0.96	0.96	0.96	0.96	0.96	0.68	0.04
mw005	0.96	0.92	0.52	0.6	0.6	0.36	0.36
mw006	0.96	0.92	0.88	0.48	0.32	0.08	0.12
mw007	0.96	0.96	0.96	0.52	0.48	0.44	0.28
mw008	0.76	0.68	0.52	0.48	0.52	0.28	0.4
mw009	0.88	0.88	0.76	0.68	0.04	0.04	0.04
mw010	0.76	0.52	0.48	0.28	0.12	0.04	0.04
mw011	0.72	0.52	0.4	0.4	0.36	0.44	0.04
mw017	0.88	0.92	0.64	0.6	0.6	0.88	0.88
sp001	0.96	0.96	0.92	0.92	0.12	0.04	0.04
sp002	0.84	0.8	0.76	0.72	0.24	0.04	0.04
sp003	0.96	0.32	0.16	0.16	0.92	0.48	0.32
sp004	0.96	0.92	0.8	0.6	0.68	0.52	0.24
sp005	0.92	0.88	0.84	0.52	0.44	0.16	0.08
sp006	0.92	0.6	0.52	0.08	0.04	0.04	0.04
sp007	0.92	0.92	0.8	0.16	0.12	0.04	0.04
sp008	0.76	0.48	0.32	0.08	0.2	0.08	0.04
sp009	0.36	0.08	0.04	0.04	0.04	0.04	0.04
sp010	0.96	0.96	0.96	0.96	0.96	0.4	0.16
sp011	0.96	0.08	0.04	0.04	0.04	0.04	0.04
sp012	0.96	0.48	0.48	0.52	0.32	0.04	0.04
sp013	0.96	0.88	0.96	0.8	0.72	0.76	0.76
sp014	0.48	0.24	0.04	0.04	0.04	0.04	0.04
sp015	0.92	0.6	0.52	0.32	0.32	0.04	0.04
sp016	0.96	0.76	0.76	0.48	0.32	0.08	0.04
tm001	0.96	0.88	0.88	0.4	0.32	0.08	0.08
tm002	0.96	0.8	0.64	0.48	0.36	0.08	0.04
tm003	0.96	0.92	0.48	0.12	0.12	0.04	0.04
tm004	0.96	0.96	0.96	0.96	0.96	0.96	0.88
tm005	0.96	0.96	0.72	0.36	0.24	0.08	0.12
tm006	0.96	0.6	0.6	0.52	0.04	0.04	0.04
