name,team,league,y
Roberto Clemente,Pitts,NL,0.4
Frank Robinson,Balt,AL,0.378
Frank Howard,Wash,AL,0.356
Jay Johnstone,Cal,AL,0.333
Ken Berry,Chi,AL,0.311
Jim Spencer,Cal,AL,0.311
Don Kessinger,Chi,NL,0.289
Luis Alvarado,Bos,AL,0.267
Ron Santo,Chi,NL,0.244
Ron Swoboda,NY,NL,0.244
Del Unser,Wash,AL,0.222
Billy Williams,Chi,AL,0.222
George Scott,Bos,AL,0.222
Rico Petrocelli,Bos,AL,0.222
Ellie Rodriguez,KC,AL,0.222
Bert Campaneris,Oak,AL,0.2
Thurman Munson,NY,AL,0.178
Max Alvis,Mil,NL,0.156
